"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","cnSampleID","cnSampleCode","sampleType","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release","cn_ratio"
"f1f3756f-1ca1-4be2-a344-cba00224f47f","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.2.0.LIVE.<4MM",NA,"vegetation",1.9,-27.8,0.6,31,49,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",51.6666666666667
"3b765bd2-58fe-4c29-9a0f-813dbbf977b1","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.70.LIVE.<4MM",NA,"vegetation",NA,NA,NA,NA,NA,"OK","OK",NA,NA,NA,"Not enough sample for analysis.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",NA
"b7b880f5-5101-413a-82fb-20cb16888b35","2016-10-04","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.30.DEAD.<4MM",NA,"vegetation",1.4,-30.9,0.5,36.1,71.2,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance",NA,NA,1,"N amplitude below threshold for reliable data.All of sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",72.2
"b17877be-cec3-449e-bbf7-58a4a5e90a88","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.3.0.LIVE.>4MM",NA,"vegetation",0.1,-26.8,0.5,49.6,91.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",99.2
"b0573cd5-5829-4117-ac26-9171a73f5abc","2016-10-04","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.10.DEAD.<4MM",NA,"vegetation",2.6,-27.5,0.7,41.7,58.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",59.5714285714286
"3110e35b-fe3b-4e14-b9ca-a7817fcc017d","2016-12-16","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.0.LIVE.>4MM",NA,"vegetation",-4,-27.1,0.2,47.3,283,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",236.5
"cf9c431d-be41-4dab-b729-44263139477c","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.40.DEAD.<4MM",NA,"vegetation",0.5,-27.2,0.9,44.5,48.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",49.4444444444444
"4cc42224-092b-41a9-904e-6dfad3a31611","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.2.0.LIVE.>4MM",NA,"vegetation",-0.7,-27.4,0.4,50.4,127.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",126
"7ee29e27-6c1f-4154-9080-e4bd285ab1ae","2016-12-08","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.1.50.LIVE.<4MM",NA,"vegetation",0.3,-29,0.9,50.4,57.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",56
"77321f44-a148-419a-a199-6836ac685045","2016-10-18","MEGAPT103797","D19","DEJU",NA,NA,"2015-07-28 20:00:00","DEJU.3.10.DEAD.<4MM",NA,"vegetation",2.3,-27.8,0.6,51.9,91.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20241118T101502Z","RELEASE-2025",86.5
