"uid","pitNamedLocation","endDate","depthIncrementID","sampleID","archiveID","rootStatus","sizeCategory","rootDryMass","incrementRootBiomass","incrementRootDensity","publicationDate","release"
"cb896bec-4230-4842-89a4-8b383cbc0083","MEGAPT103797",2015-07-28,"DEJU.2.70","DEJU.2.70.LIVE.<4MM",NA,"live","<=4mm",1e-04,0.01,0.1,"20241118T101502Z","RELEASE-2025"
"fb7b348b-c781-4e05-96ac-d06a2c6e70b1","MEGAPT103797",2015-07-28,"DEJU.2.60","DEJU.2.60.LIVE.<4MM",NA,"live","<=4mm",0.0034,0.34,3.4,"20241118T101502Z","RELEASE-2025"
"af995d31-01b8-4ab2-972f-86f54a5af7c5","MEGAPT103797",2015-07-28,"DEJU.3.0","DEJU.3.0.DEAD.<4MM","DEJU.3.0.DEAD.<4MM","dead","<=4mm",0.8404,84.04,840.4,"20241118T101502Z","RELEASE-2025"
"845025dc-df64-4fec-b7ed-ecb67a8be0f7","MEGAPT103797",2015-07-28,"DEJU.2.40","DEJU.2.40.LIVE.<4MM",NA,"live","<=4mm",0.0026,0.26,2.6,"20241118T101502Z","RELEASE-2025"
"18df25ba-de0f-44b7-987b-8e0cf1205313","MEGAPT103797",2015-07-28,"DEJU.3.60","DEJU.3.60.LIVE.<4MM","DEJU.3.60.LIVE.<4MM","live","<=4mm",0.0285,2.85,28.5,"20241118T101502Z","RELEASE-2025"
"c270d4b8-ceb4-447f-a5e3-bf5747d0d1bc","MEGAPT103797",2015-07-28,"DEJU.2.30","DEJU.2.30.DEAD.<4MM",NA,"dead","<=4mm",0.0088,0.88,8.8,"20241118T101502Z","RELEASE-2025"
"250cd2e4-5cc8-400a-b193-7c618238e773","MEGAPT103797",2015-07-28,"DEJU.3.0","DEJU.3.0.LIVE.>4MM","DEJU.3.0.LIVE.>4MM","live",">4mm",5.3717,537.17,5371.7,"20241118T101502Z","RELEASE-2025"
"3ec03e77-1985-4de5-99c1-f49038ba7dde","MEGAPT103797",2015-07-28,"DEJU.1.50","DEJU.1.50.LIVE.<4MM","DEJU.1.50.LIVE.<4MM","live","<=4mm",0.0252,2.52,25.2,"20241118T101502Z","RELEASE-2025"
"4b438ed4-7f5b-424e-bc43-98a499eecd25","MEGAPT103797",2015-07-28,"DEJU.1.70","DEJU.1.70.LIVE.<4MM",NA,"live","<=4mm",0.004,0.4,4,"20241118T101502Z","RELEASE-2025"
"db8cee0b-5772-435a-9f2a-051dcd917b29","MEGAPT103797",2015-07-28,"DEJU.3.10","DEJU.3.10.DEAD.<4MM","DEJU.3.10.DEAD.<4MM","dead","<=4mm",0.1039,10.39,103.9,"20241118T101502Z","RELEASE-2025"
