uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,collectDate,cnSampleID,cnSampleCode,sampleType,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,cn_ratio,depth_category,root_status,size_class,depth_cm,sizeCategory
f1f3756f-1ca1-4be2-a344-cba00224f47f,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.2.0.LIVE.<4MM,NA,vegetation,1.9,-27.8,0.6,31,49,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,51.66666666666667,0-10cm,LIVE,≤4mm,0,Unknown
b17877be-cec3-449e-bbf7-58a4a5e90a88,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.3.0.LIVE.>4MM,NA,vegetation,0.1,-26.8,0.5,49.6,91.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,99.2,0-10cm,LIVE,>4mm,0,Unknown
b0573cd5-5829-4117-ac26-9171a73f5abc,2016-10-04,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.10.DEAD.<4MM,NA,vegetation,2.6,-27.5,0.7,41.7,58.7,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,59.57142857142858,10-30cm,DEAD,≤4mm,10,Unknown
cf9c431d-be41-4dab-b729-44263139477c,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.40.DEAD.<4MM,NA,vegetation,0.5,-27.2,0.9,44.5,48.3,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,49.44444444444444,30-60cm,DEAD,≤4mm,40,Unknown
4cc42224-092b-41a9-904e-6dfad3a31611,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.2.0.LIVE.>4MM,NA,vegetation,-0.7,-27.4,0.4,50.4,127.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,125.99999999999999,0-10cm,LIVE,>4mm,0,Unknown
7ee29e27-6c1f-4154-9080-e4bd285ab1ae,2016-12-08,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.50.LIVE.<4MM,NA,vegetation,0.3,-29,0.9,50.4,57.2,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,56,30-60cm,LIVE,≤4mm,50,Unknown
77321f44-a148-419a-a199-6836ac685045,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.3.10.DEAD.<4MM,NA,vegetation,2.3,-27.8,0.6,51.9,91.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,86.5,10-30cm,DEAD,≤4mm,10,Unknown
776d1d23-93cf-4c5c-ad42-a3980b8b86c9,2016-10-04,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.0.DEAD.>4MM,NA,vegetation,2.8,-27.4,0.8,51.8,65.7,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,64.74999999999999,0-10cm,DEAD,>4mm,0,Unknown
93db9757-4efe-4221-bd19-256bfc9be174,2016-10-04,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.10.LIVE.<4MM,NA,vegetation,2.1,-27.9,0.5,32.8,60.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,65.6,10-30cm,LIVE,≤4mm,10,Unknown
b3447cff-0f32-4311-9060-26b780e90b45,2016-10-04,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.20.DEAD.<4MM,NA,vegetation,1.2,-27.3,0.6,46.8,74.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,78,10-30cm,DEAD,≤4mm,20,Unknown
4749c06f-9feb-477d-bef0-bb6e3740938b,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.2.0.DEAD.>4MM,NA,vegetation,2.4,-27.8,0.5,53.6,110.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,107.2,0-10cm,DEAD,>4mm,0,Unknown
8a8f20d2-d5f6-45d6-a71e-d6c2d4194ad3,2016-10-18,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.3.30.LIVE.<4MM,NA,vegetation,1,-27.4,0.7,43.9,64.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,62.714285714285715,30-60cm,LIVE,≤4mm,30,Unknown
f3c294f5-2438-4c0a-bd63-03beca5c02de,2016-12-16,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.60.LIVE.<4MM,NA,vegetation,0.3,-29,0.9,42.6,45.3,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,47.333333333333336,60-100cm,LIVE,≤4mm,60,Unknown
c80ca6cb-c0db-409f-aa93-63adc395e069,2016-12-16,MEGAPT103797,D19,DEJU,NA,NA,2015-07-28T20:00:00Z,DEJU.1.30.LIVE.<4MM,NA,vegetation,0,-30,0.3,23.3,68.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,2024-11-18T10:15:02Z,RELEASE-2025,77.66666666666667,30-60cm,LIVE,≤4mm,30,Unknown
