cnSampleID,siteID,domainID,plotID,carbonPercent,nitrogenPercent,cn_ratio,depth_cm,depth_category,sizeCategory,root_status,bulk_density,soil_depth_cm,soil_depth_category,soil_horizon
DEJU.2.0.LIVE.<4MM,DEJU,D19,NA,31,0.6,51.66666666666667,0,0-10cm,Unknown,LIVE,0.569,2.5,0-10cm,Oe
DEJU.3.0.LIVE.>4MM,DEJU,D19,NA,49.6,0.5,99.2,0,0-10cm,Unknown,LIVE,0.569,2.5,0-10cm,Oe
DEJU.1.10.DEAD.<4MM,DEJU,D19,NA,41.7,0.7,59.57142857142858,10,10-30cm,Unknown,DEAD,1.0982,11.5,10-30cm,A
DEJU.1.40.DEAD.<4MM,DEJU,D19,NA,44.5,0.9,49.44444444444444,40,30-60cm,Unknown,DEAD,1.2264,42.5,30-60cm,BC
DEJU.2.0.LIVE.>4MM,DEJU,D19,NA,50.4,0.4,125.99999999999999,0,0-10cm,Unknown,LIVE,0.569,2.5,0-10cm,Oe
DEJU.1.50.LIVE.<4MM,DEJU,D19,NA,50.4,0.9,56,50,30-60cm,Unknown,LIVE,1.2264,42.5,30-60cm,BC
DEJU.3.10.DEAD.<4MM,DEJU,D19,NA,51.9,0.6,86.5,10,10-30cm,Unknown,DEAD,1.0982,11.5,10-30cm,A
DEJU.1.0.DEAD.>4MM,DEJU,D19,NA,51.8,0.8,64.74999999999999,0,0-10cm,Unknown,DEAD,0.569,2.5,0-10cm,Oe
DEJU.1.10.LIVE.<4MM,DEJU,D19,NA,32.8,0.5,65.6,10,10-30cm,Unknown,LIVE,1.0982,11.5,10-30cm,A
DEJU.1.20.DEAD.<4MM,DEJU,D19,NA,46.8,0.6,78,20,10-30cm,Unknown,DEAD,1.2322,22.5,10-30cm,Bw
DEJU.2.0.DEAD.>4MM,DEJU,D19,NA,53.6,0.5,107.2,0,0-10cm,Unknown,DEAD,0.569,2.5,0-10cm,Oe
DEJU.3.30.LIVE.<4MM,DEJU,D19,NA,43.9,0.7,62.714285714285715,30,30-60cm,Unknown,LIVE,1.2322,22.5,10-30cm,Bw
