depth_category,carbonPercent_n,carbonPercent_mean,carbonPercent_sd,carbonPercent_se,carbonPercent_min,carbonPercent_max,carbonPercent_median,nitrogenPercent_n,nitrogenPercent_mean,nitrogenPercent_sd,nitrogenPercent_se,nitrogenPercent_min,nitrogenPercent_max,nitrogenPercent_median,cn_ratio_n,cn_ratio_mean,cn_ratio_sd,cn_ratio_se,cn_ratio_min,cn_ratio_max,cn_ratio_median
1.0,4,44.0375,10.00061456444886,5.00030728222443,29.35,51.8,47.5,4,0.6125,0.2839454172900137,0.14197270864500686,0.2,0.8,0.7250000000000001,4,101.50721153846153,90.3769273104393,45.18846365521965,45.15384615384615,236.49999999999997,62.18749999999999
1.10,4,43.375,7.971773119367277,3.9858865596836384,32.8,50.2,45.25,4,0.65,0.12909944487358058,0.06454972243679029,0.5,0.8,0.6499999999999999,4,67.31369047619047,9.665350675728595,4.8326753378642975,59.57142857142858,81.33333333333333,64.175
1.20,2,45.95,1.2020815280171278,0.8499999999999978,45.1,46.8,45.95,2,0.75,0.21213203435596428,0.15,0.6,0.9,0.75,2,64.05555555555556,19.72042245309149,13.944444444444443,50.111111111111114,78,64.05555555555556
1.30,2,29.700000000000003,9.05096679918781,6.4,23.3,36.1,29.700000000000003,2,0.4,0.14142135623730953,0.1,0.3,0.5,0.4,2,74.93333333333334,3.865517070486461,2.7333333333333343,72.2,77.66666666666667,74.93333333333334
1.40,2,43.55,1.3435028842544392,0.9499999999999992,42.6,44.5,43.55,2,1.15,0.3535533905932737,0.24999999999999992,0.9,1.4,1.15,2,39.93650793650794,13.446252759706091,9.507936507936504,30.42857142857143,49.44444444444444,39.93650793650794
1.50,2,45.75,6.5760930650348906,4.649999999999999,41.1,50.4,45.75,2,0.75,0.21213203435596428,0.15,0.6,0.9,0.75,2,62.25,8.838834764831844,6.25,56,68.5,62.25
1.60,1,42.6,NA,NA,42.6,42.6,42.6,1,0.9,NA,NA,0.9,0.9,0.9,1,47.333333333333336,NA,NA,47.333333333333336,47.333333333333336,47.333333333333336
1.80,1,48.7,NA,NA,48.7,48.7,48.7,1,0.8,NA,NA,0.8,0.8,0.8,1,60.875,NA,NA,60.875,60.875,60.875
2.0,4,46.325,10.330980915027705,5.165490457513853,31,53.6,50.349999999999994,4,0.55,0.12909944487358055,0.06454972243679027,0.4,0.7,0.55,4,89.18095238095238,33.60438638898943,16.802193194494716,51.66666666666667,125.99999999999999,89.52857142857144
2.10,2,46.7,3.959797974644667,2.8000000000000007,43.9,49.5,46.7,2,0.6499999999999999,0.07071067811865474,0.04999999999999999,0.6,0.7,0.6499999999999999,2,71.9404761904762,1.7340952014812927,1.2261904761904745,70.71428571428572,73.16666666666667,71.9404761904762
2.20,2,43.5,0.14142135623731153,0.10000000000000142,43.4,43.6,43.5,2,0.6499999999999999,0.07071067811865474,0.04999999999999999,0.6,0.7,0.6499999999999999,2,67.33333333333334,7.54247233265651,5.333333333333336,62,72.66666666666667,67.33333333333334
2.30,2,43.5,4.242640687119285,2.9999999999999996,40.5,46.5,43.5,2,1,0.42426406871192857,0.3,0.7,1.3,1,2,46.81318681318682,15.618512419614957,11.043956043956047,35.76923076923077,57.85714285714286,46.81318681318682
2.40,1,40,NA,NA,40,40,40,1,1,NA,NA,1,1,1,1,40,NA,NA,40,40,40
2.50,1,5.5,NA,NA,5.5,5.5,5.5,1,0.2,NA,NA,0.2,0.2,0.2,1,27.5,NA,NA,27.5,27.5,27.5
2.70,1,8.2,NA,NA,8.2,8.2,8.2,1,0.6,NA,NA,0.6,0.6,0.6,1,13.666666666666666,NA,NA,13.666666666666666,13.666666666666666,13.666666666666666
3.0,4,44.5675,3.7794477109757727,1.8897238554878864,41,49.6,43.835,4,0.8,0.25819888974716115,0.12909944487358058,0.5,1.1,0.8,4,62.05826118326119,27.210572064981562,13.605286032490781,37.272727272727266,99.2,55.88015873015874
3.10,2,48.25,5.161879502661795,3.649999999999998,44.6,51.9,48.25,2,0.6499999999999999,0.07071067811865474,0.04999999999999999,0.6,0.7,0.6499999999999999,2,75.10714285714286,16.111933085607756,11.392857142857139,63.71428571428572,86.5,75.10714285714286
3.20,2,31.7,2.262741699796949,1.5999999999999976,30.1,33.3,31.7,2,0.45,0.07071067811865474,0.04999999999999999,0.4,0.5,0.45,2,71.725,16.298811306349908,11.52499999999999,60.2,83.24999999999999,71.725
3.30,1,43.9,NA,NA,43.9,43.9,43.9,1,0.7,NA,NA,0.7,0.7,0.7,1,62.714285714285715,NA,NA,62.714285714285715,62.714285714285715,62.714285714285715
3.40,1,33.9,NA,NA,33.9,33.9,33.9,1,1,NA,NA,1,1,1,1,33.9,NA,NA,33.9,33.9,33.9
3.50,1,45.5,NA,NA,45.5,45.5,45.5,1,0.9,NA,NA,0.9,0.9,0.9,1,50.55555555555556,NA,NA,50.55555555555556,50.55555555555556,50.55555555555556
3.60,1,47.1,NA,NA,47.1,47.1,47.1,1,0.8,NA,NA,0.8,0.8,0.8,1,58.875,NA,NA,58.875,58.875,58.875
3.70,1,47.1,NA,NA,47.1,47.1,47.1,1,0.9,NA,NA,0.9,0.9,0.9,1,52.333333333333336,NA,NA,52.333333333333336,52.333333333333336,52.333333333333336
